Name of Issuer,CUSIP,Value,Shares
AMERICAN EXPRESS CO,025816109,151720,1952142
AMERICAN EXPRESS CO,025816109,1338758,17225400
AMERICAN EXPRESS CO,025816109,65272,839832
AMERICAN EXPRESS CO,025816109,151018,1943100
AMERICAN EXPRESS CO,025816109,621343,7994634
AMERICAN EXPRESS CO,025816109,9346287,120255879
AMERICAN EXPRESS CO,025816109,108786,1399713
BANK OF NEW YORK MELLON CORP,064058100,303640,7234700
BANK OF NEW YORK MELLON CORP,064058100,75291,1793915
BANK OF NEW YORK MELLON CORP,064058100,228543,5445384
BANK OF NEW YORK MELLON CORP,064058100,23084,550021
BANK OF NEW YORK MELLON CORP,064058100,237399,5656400
CHARTER COMMUNICATIONS INC D,16117M305,280431,1637553
CHARTER COMMUNICATIONS INC D,16117M305,1177708,6877125
CHICAGO BRIDGE & IRON CO N V,167250109,143062,2858962
CHICAGO BRIDGE & IRON CO N V,167250109,323657,6467959
COCA COLA CO,191216100,31384,800000
COCA COLA CO,191216100,3149510,80283200
COCA COLA CO,191216100,71556,1824000
COCA COLA CO,191216100,565351,14411200
COCA COLA CO,191216100,717062,18278400
COCA COLA CO,191216100,10980132,279891200
COCA COLA CO,191216100,139345,3552000
COCA COLA CO,191216100,37661,960000
COSTCO WHSL CORP NEW,22160K105,585264,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1593539,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1471266,18513482
DEERE & CO,244199105,96050,989700
DEERE & CO,244199105,224425,2312467
DEERE & CO,244199105,1359469,14007923
DIRECTV,25490A309,624990,6735529
DIRECTV,25490A309,1600643,17250170
DIRECTV,25490A309,642717,6926575
DIRECTV,25490A309,40938,441194
GENERAL ELECTRIC CO,369604103,15647,588900
GENERAL ELECTRIC CO,369604103,14229,535532
GENERAL ELECTRIC CO,369604103,132805,4998302
GENERAL ELECTRIC CO,369604103,949,35702
GENERAL ELECTRIC CO,369604103,112884,4248556
GENERAL ELECTRIC CO,369604103,4743,178510
GENERAL MTRS CO,37045V100,375131,11255056
GENERAL MTRS CO,37045V100,756758,22705000
GENERAL MTRS CO,37045V100,193392,5802344
GENERAL MTRS CO,37045V100,41249,1237600
GOLDMAN SACHS GROUP INC,38141G104,349099,1672012
GOLDMAN SACHS GROUP INC,38141G104,913658,4375968
GOLDMAN SACHS GROUP INC,38141G104,1374580,6583551
GRAHAM HLDGS CO,384637104,51780,48165
GRAHAM HLDGS CO,384637104,63869,59410
INTERNATIONAL BUSINESS MACHS,459200101,13742,84480
INTERNATIONAL BUSINESS MACHS,459200101,45219,278000
INTERNATIONAL BUSINESS MACHS,459200101,112168,689588
INTERNATIONAL BUSINESS MACHS,459200101,77231,474800
INTERNATIONAL BUSINESS MACHS,459200101,137139,843100
INTERNATIONAL BUSINESS MACHS,459200101,12556563,77195147
JOHNSON & JOHNSON,478160104,31879,327100
KRAFT FOODS GROUP INC,50076Q106,16404,192666
LEE ENTERPRISES INC,523768109,296,88863
LIBERTY MEDIA CORP DELAWARE,531229102,47657,1322340
LIBERTY MEDIA CORP DELAWARE,531229102,96503,2677660
LIBERTY MEDIA CORP DELAWARE,531229300,94944,2644680
LIBERTY MEDIA CORP DELAWARE,531229300,192256,5355320
M & T BK CORP,55261F104,68212,546000
M & T BK CORP,55261F104,20588,164795
M & T BK CORP,55261F104,583579,4671245
MASTERCARD INC,57636Q104,488878,5229756
MEDIA GEN INC NEW,58441K100,76756,4646220
MONDELEZ INTL INC,609207105,23779,578000
MOODYS CORP,615369105,1292705,11973928
MOODYS CORP,615369105,1370644,12695850
NOW INC,67011P100,13135,659694
NOW INC,67011P100,23213,1165875
PRECISION CASTPARTS CORP,740189105,300941,1505683
PRECISION CASTPARTS CORP,740189105,538671,2695109
PROCTER & GAMBLE CO,742718109,24677,315400
PROCTER & GAMBLE CO,742718109,1586707,20280000
PROCTER & GAMBLE CO,742718109,122054,1560000
PROCTER & GAMBLE CO,742718109,488218,6240000
PROCTER & GAMBLE CO,742718109,488218,6240000
PROCTER & GAMBLE CO,742718109,1359630,17377678
PROCTER & GAMBLE CO,742718109,61027,780000
RESTAURANT BRANDS INTL INC,76131D103,322425,8438225
SANOFI,80105N105,20872,421400
SANOFI,80105N105,25248,509742
SANOFI,80105N105,8385,169300
SANOFI,80105N105,138953,2805433
SUNCOR ENERGY INC NEW,867224107,174722,6348894
SUNCOR ENERGY INC NEW,867224107,357760,13000000
SUNCOR ENERGY INC NEW,867224107,82709,3005400
TORCHMARK CORP,891027104,10159,174489
TORCHMARK CORP,891027104,58912,1011888
TORCHMARK CORP,891027104,83798,1439325
TORCHMARK CORP,891027104,217046,3728025
TWENTY FIRST CENTY FOX INC,90130A101,120998,3717867
TWENTY FIRST CENTY FOX INC,90130A101,81695,2510230
US BANCORP DEL,902973304,26877,619275
US BANCORP DEL,902973304,133238,3070000
US BANCORP DEL,902973304,1033020,23802300
US BANCORP DEL,902973304,50995,1175000
US BANCORP DEL,902973304,550282,12679300
US BANCORP DEL,902973304,182488,4204800
US BANCORP DEL,902973304,132370,3050000
US BANCORP DEL,902973304,1506739,34717492
US BANCORP DEL,902973304,75733,1745000
U S G CORP,903293405,390035,14035088
U S G CORP,903293405,693831,24966928
UNITED PARCEL SERVICE INC,911312106,5756,59400
VERISIGN INC,92343E102,311517,5047264
VERISIGN INC,92343E102,489917,7937736
VERIZON COMMUNICATIONS INC,92343V104,628658,13487628
VERIZON COMMUNICATIONS INC,92343V104,70535,1513300
VERISK ANALYTICS INC,92345Y106,113755,1563434
VIACOM INC NEW,92553P201,62477,966531
VIACOM INC NEW,92553P201,302527,4680190
VISA INC,92826C839,663788,9885160
WABCO HLDGS INC,92927K102,264081,2134502
WABCO HLDGS INC,92927K102,203234,1642693
WAL MART STORES INC,931142103,21705,306000
WAL MART STORES INC,931142103,121290,1710000
WAL MART STORES INC,931142103,2092,29500
WAL MART STORES INC,931142103,297906,4200000
WAL MART STORES INC,931142103,108795,1533840
WAL MART STORES INC,931142103,18158,256000
WAL MART STORES INC,931142103,67100,946000
WAL MART STORES INC,931142103,126894,1789000
WAL MART STORES INC,931142103,325427,4588000
WAL MART STORES INC,931142103,3119569,43980953
WAL MART STORES INC,931142103,37948,535000
WAL MART STORES INC,931142103,36245,511000
WELLS FARGO & CO NEW,949746101,343034,6099470
WELLS FARGO & CO NEW,949746101,925148,16450000
WELLS FARGO & CO NEW,949746101,298269,5303500
WELLS FARGO & CO NEW,949746101,383155,6812857
WELLS FARGO & CO NEW,949746101,4209779,74853819
WELLS FARGO & CO NEW,949746101,46117,820000
WELLS FARGO & CO NEW,949746101,95608,1700000
WELLS FARGO & CO NEW,949746101,2028532,36069200
WELLS FARGO & CO NEW,949746101,577416,10267000
WELLS FARGO & CO NEW,949746101,3150468,56018270
WELLS FARGO & CO NEW,949746101,14031909,249500523
WELLS FARGO & CO NEW,949746101,156797,2788000
WELLS FARGO & CO NEW,949746101,90531,1609720
WELLS FARGO & CO NEW,949746101,112480,2000000
AXALTA COATING SYS LTD,G0750C108,661600,20000000
LIBERTY GLOBAL PLC,G5480U104,157669,2916025
LIBERTY GLOBAL PLC,G5480U104,401565,7426768
LIBERTY GLOBAL PLC,G5480U120,371977,7346968
