Name of Issuer,CUSIP,Value,Shares
AMERICAN AIRLS GROUP INC,02376R102,1061824,22742000
AMERICAN AIRLS GROUP INC,02376R102,1064665,22802854
AMERICAN EXPRESS CO,025816109,144615,1952142
AMERICAN EXPRESS CO,025816109,1276058,17225400
AMERICAN EXPRESS CO,025816109,62215,839832
AMERICAN EXPRESS CO,025816109,152390,2057100
AMERICAN EXPRESS CO,025816109,592242,7994634
AMERICAN EXPRESS CO,025816109,8900110,120141879
AMERICAN EXPRESS CO,025816109,103691,1399713
APPLE INC,037833100,82232,710000
APPLE INC,037833100,111187,960000
APPLE INC,037833100,1021301,8818000
APPLE INC,037833100,78873,681000
APPLE INC,037833100,1781977,15385747
APPLE INC,037833100,208592,1801000
APPLE INC,037833100,419037,3618000
APPLE INC,037833100,2752335,23763905
APPLE INC,037833100,78526,678000
APPLE INC,037833100,109334,944000
BANK OF NEW YORK MELLON CORP,064058100,355883,7511249
BANK OF NEW YORK MELLON CORP,064058100,84996,1793915
BANK OF NEW YORK MELLON CORP,064058100,291879,6160384
BANK OF NEW YORK MELLON CORP,064058100,26060,550021
BANK OF NEW YORK MELLON CORP,064058100,268000,5656400
CHARTER COMMUNICATIONS INC N,16119P108,764266,2654437
CHARTER COMMUNICATIONS INC N,16119P108,1954704,6789054
COCA COLA CO,191216100,33168,800000
COCA COLA CO,191216100,3328541,80283200
COCA COLA CO,191216100,75623,1824000
COCA COLA CO,191216100,597488,14411200
COCA COLA CO,191216100,621502,14990400
COCA COLA CO,191216100,11740610,283179200
COCA COLA CO,191216100,147266,3552000
COCA COLA CO,191216100,39802,960000
COSTCO WHSL CORP NEW,22160K105,693815,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1287344,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1188566,18513482
DELTA AIR LINES INC DEL,247361702,250440,5091277
DELTA AIR LINES INC DEL,247361702,389030,7908723
DELTA AIR LINES INC DEL,247361702,2313209,47025995
GENERAL ELECTRIC CO,369604103,18609,588900
GENERAL ELECTRIC CO,369604103,16923,535532
GENERAL ELECTRIC CO,369604103,157946,4998302
GENERAL ELECTRIC CO,369604103,1128,35702
GENERAL ELECTRIC CO,369604103,134254,4248556
GENERAL ELECTRIC CO,369604103,5641,178510
GENERAL MTRS CO,37045V100,539074,15472853
GENERAL MTRS CO,37045V100,867070,24887209
GENERAL MTRS CO,37045V100,292737,8402338
GENERAL MTRS CO,37045V100,43118,1237600
GOLDMAN SACHS GROUP INC,38141G104,1047826,4375968
GOLDMAN SACHS GROUP INC,38141G104,1576431,6583551
GRAHAM HLDGS CO,384637104,24658,48165
GRAHAM HLDGS CO,384637104,30415,59410
INTERNATIONAL BUSINESS MACHS,459200101,14023,84480
INTERNATIONAL BUSINESS MACHS,459200101,46145,278000
INTERNATIONAL BUSINESS MACHS,459200101,119727,721288
INTERNATIONAL BUSINESS MACHS,459200101,84456,508800
INTERNATIONAL BUSINESS MACHS,459200101,38692,233100
INTERNATIONAL BUSINESS MACHS,459200101,13147700,79207782
INTERNATIONAL BUSINESS MACHS,459200101,33008,198853
JOHNSON & JOHNSON,478160104,37685,327100
KRAFT HEINZ CO,500754106,28434432,325634818
LIBERTY MEDIA CORP DELAWARE,531229409,67832,1965000
LIBERTY MEDIA CORP DELAWARE,531229409,243013,7039780
LIBERTY MEDIA CORP DELAWARE,531229409,32221,933391
LIBERTY MEDIA CORP DELAWARE,531229409,4164,120629
LIBERTY MEDIA CORP DELAWARE,531229607,133957,3949206
LIBERTY MEDIA CORP DELAWARE,531229607,595897,17567720
LIBERTY MEDIA CORP DELAWARE,531229607,17254,508654
LIBERTY MEDIA CORP DELAWARE,531229607,7141,210529
M & T BK CORP,55261F104,85411,546000
M & T BK CORP,55261F104,25779,164795
M & T BK CORP,55261F104,730723,4671245
MASTERCARD INC,57636Q104,509514,4934756
MONDELEZ INTL INC,609207105,25623,578000
MOSANTO CO NEW,61166W101,345615,3285000
MOSANTO CO NEW,61166W101,500461,4756784
MOODYS CORP,615369105,1128782,11973928
MOODYS CORP,615369105,1196838,12695850
PHILLIPS 66,718546104,527274,6102000
PHILLIPS 66,718546104,67573,782000
PHILLIPS 66,718546104,450455,5213000
PHILLIPS 66,718546104,100495,1163000
PHILLIPS 66,718546104,5717222,66163892
PHILLIPS 66,718546104,109395,1266000
PROCTER & GAMBLE CO,742718109,26519,315400
RESTAURANT BRANDS INTL INC,76131D103,402166,8438225
SANOFI,80105N105,17041,421400
SANOFI,80105N105,20614,509742
SANOFI,80105N105,6846,169300
SANOFI,80105N105,113452,2805433
SIRIUS XM HLDGS INC,82968B103,544110,122272000
SIRIUS XM HLDGS INC,82968B103,197437,44367941
SOUTHWEST AIRLS CO,844741108,435,8722
SOUTHWEST AIRLS CO,844741108,2152841,43195053
TORCHMARK CORP,891027104,12870,174489
TORCHMARK CORP,891027104,74637,1011888
TORCHMARK CORP,891027104,106165,1439325
TORCHMARK CORP,891027104,274979,3728025
TWENTY FIRST CENTY FOX INC,90130A101,129906,4632867
TWENTY FIRST CENTY FOX INC,90130A101,121105,4319002
US BANCORP DEL,902973304,30322,590275
US BANCORP DEL,902973304,157706,3070000
US BANCORP DEL,902973304,1224214,23831300
US BANCORP DEL,902973304,60360,1175000
US BANCORP DEL,902973304,651336,12679300
US BANCORP DEL,902973304,216001,4204800
US BANCORP DEL,902973304,1940116,37767492
US BANCORP DEL,902973304,89641,1745000
U S G CORP,903293405,405333,14035088
U S G CORP,903293405,721045,24966928
UNITED CONTL HLDGS INC,910047109,169896,2331169
UNITED CONTL HLDGS INC,910047109,413144,5668831
UNITED CONTL HLDGS INC,910047109,1526935,20951353
UNITED PARCEL SERVICE INC,911312106,6810,59400
VERISIGN INC,92343E102,383945,5047264
VERISIGN INC,92343E102,601370,7905481
VERIZON COMMUNICATIONS INC,92343V104,50,928
VERISK ANALYTICS INC,92345Y106,126904,1563434
VISA INC,92826C839,25224,323300
VISA INC,92826C839,798859,10239160
WABCO HLDGS INC,92927K102,183183,1725701
WABCO HLDGS INC,92927K102,174372,1642693
WAL MART STORES INC,931142103,65388,946000
WAL MART STORES INC,931142103,30932,447513
WELLS FARGO & CO NEW,949746101,411973,7475470
WELLS FARGO & CO NEW,949746101,906560,16450000
WELLS FARGO & CO NEW,949746101,292276,5303500
WELLS FARGO & CO NEW,949746101,375457,6812857
WELLS FARGO & CO NEW,949746101,4135885,75047819
