Name of Issuer,CUSIP,Value,Shares
AT&T INC,00206R102,415187,12743618
AT&T INC,00206R102,1063324,32637320
AT&T INC,00206R102,426963,13105079
AT&T INC,00206R102,27196,834739
AMERICAN EXPRESS CO,025816109,144712,1952142
AMERICAN EXPRESS CO,025816109,1276919,17225400
AMERICAN EXPRESS CO,025816109,62257,839832
AMERICAN EXPRESS CO,025816109,144042,1943100
AMERICAN EXPRESS CO,025816109,592642,7994634
AMERICAN EXPRESS CO,025816109,8914568,120255879
AMERICAN EXPRESS CO,025816109,103761,1399713
BANK OF NEW YORK MELLON CORP,064058100,260993,6666492
BANK OF NEW YORK MELLON CORP,064058100,70232,1793915
BANK OF NEW YORK MELLON CORP,064058100,213187,5445384
BANK OF NEW YORK MELLON CORP,064058100,21533,550021
BANK OF NEW YORK MELLON CORP,064058100,221448,5656400
CHARTER COMMUNICATIONS INC D,16117M305,495624,2818446
CHARTER COMMUNICATIONS INC D,16117M305,1312396,7463157
CHICAGO BRIDGE & IRON CO N V,167250109,78653,1983190
COCA COLA CO,191216100,32096,800000
COCA COLA CO,191216100,3220962,80283200
COCA COLA CO,191216100,73179,1824000
COCA COLA CO,191216100,578177,14411200
COCA COLA CO,191216100,733329,18278400
COCA COLA CO,191216100,11229235,279891200
COCA COLA CO,191216100,142506,3552000
COCA COLA CO,191216100,38515,960000
COSTCO WHSL CORP NEW,22160K105,626474,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1450368,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1339080,18513482
DEERE & CO,244199105,53258,719700
DEERE & CO,244199105,171123,2312467
DEERE & CO,244199105,1037476,14019943
GENERAL ELECTRIC CO,369604103,14852,588900
GENERAL ELECTRIC CO,369604103,13506,535532
GENERAL ELECTRIC CO,369604103,126057,4998302
GENERAL ELECTRIC CO,369604103,900,35702
GENERAL ELECTRIC CO,369604103,107149,4248556
GENERAL ELECTRIC CO,369604103,4502,178510
GENERAL MTRS CO,37045V100,416193,13863853
GENERAL MTRS CO,37045V100,747114,24887209
GENERAL MTRS CO,37045V100,300540,10011338
GENERAL MTRS CO,37045V100,37153,1237600
GOLDMAN SACHS GROUP INC,38141G104,760368,4375968
GOLDMAN SACHS GROUP INC,38141G104,1143958,6583551
GRAHAM HLDGS CO,384637104,27791,48165
GRAHAM HLDGS CO,384637104,34280,59410
INTERNATIONAL BUSINESS MACHS,459200101,12247,84480
INTERNATIONAL BUSINESS MACHS,459200101,40302,278000
INTERNATIONAL BUSINESS MACHS,459200101,104565,721288
INTERNATIONAL BUSINESS MACHS,459200101,68832,474800
INTERNATIONAL BUSINESS MACHS,459200101,122224,843100
INTERNATIONAL BUSINESS MACHS,459200101,11399249,78631782
JOHNSON & JOHNSON,478160104,30535,327100
KRAFT HEINZ CO,500754106,22983305,325634818
LEE ENTERPRISES INC,523768109,185,88863
LIBERTY MEDIA CORP DELAWARE,531229102,70190,1965000
LIBERTY MEDIA CORP DELAWARE,531229102,170777,4780980
LIBERTY MEDIA CORP DELAWARE,531229102,33341,933391
LIBERTY MEDIA CORP DELAWARE,531229102,4309,120629
LIBERTY MEDIA CORP DELAWARE,531229300,108032,3135000
LIBERTY MEDIA CORP DELAWARE,531229300,397395,11532074
LIBERTY MEDIA CORP DELAWARE,531229300,17528,508654
LIBERTY MEDIA CORP DELAWARE,531229300,7255,210529
M & T BK CORP,55261F104,66585,546000
M & T BK CORP,55261F104,20097,164795
M & T BK CORP,55261F104,569658,4671245
MASTERCARD INC,57636Q104,471306,5229756
MEDIA GEN INC NEW,58441K100,48564,3471309
MONDELEZ INTL INC,609207105,24201,578000
MOODYS CORP,615369105,1175840,11973928
MOODYS CORP,615369105,1246732,12695850
NOW INC,67011P100,9763,659694
NOW INC,67011P100,17255,1165875
PHILLIPS 66,718546104,468878,6102000
PHILLIPS 66,718546104,9374,122000
PHILLIPS 66,718546104,4149124,53996926
PHILLIPS 66,718546104,97279,1266000
PRECISION CASTPARTS CORP,740189105,345870,1505683
PRECISION CASTPARTS CORP,740189105,619093,2695109
PROCTER & GAMBLE CO,742718109,22690,315400
PROCTER & GAMBLE CO,742718109,1458943,20280000
PROCTER & GAMBLE CO,742718109,112226,1560000
PROCTER & GAMBLE CO,742718109,448906,6240000
PROCTER & GAMBLE CO,742718109,448906,6240000
PROCTER & GAMBLE CO,742718109,1250150,17377678
PROCTER & GAMBLE CO,742718109,56113,780000
RESTAURANT BRANDS INTL INC,76131D103,303101,8438225
SANOFI,80105N105,20004,421400
SANOFI,80105N105,24197,509742
SANOFI,80105N105,8037,169300
SANOFI,80105N105,133174,2805433
SUNCOR ENERGY INC NEW,867224107,233015,8720619
SUNCOR ENERGY INC NEW,867224107,478182,17896025
SUNCOR ENERGY INC NEW,867224107,90403,3383356
TORCHMARK CORP,891027104,9841,174489
TORCHMARK CORP,891027104,57070,1011888
TORCHMARK CORP,891027104,81178,1439325
TORCHMARK CORP,891027104,210261,3728025
TWENTY FIRST CENTY FOX INC,90130A101,124995,4632867
TWENTY FIRST CENTY FOX INC,90130A101,116527,4319002
US BANCORP DEL,902973304,24207,590275
US BANCORP DEL,902973304,125901,3070000
US BANCORP DEL,902973304,977322,23831300
US BANCORP DEL,902973304,48187,1175000
US BANCORP DEL,902973304,519978,12679300
US BANCORP DEL,902973304,172439,4204800
US BANCORP DEL,902973304,125081,3050000
US BANCORP DEL,902973304,1423764,34717492
US BANCORP DEL,902973304,71562,1745000
U S G CORP,903293405,373614,14035088
U S G CORP,903293405,664620,24966928
UNITED PARCEL SERVICE INC,911312106,5862,59400
VERISIGN INC,92343E102,356135,5047264
VERISIGN INC,92343E102,560087,7937736
VERIZON COMMUNICATIONS INC,92343V104,586847,13487628
VERIZON COMMUNICATIONS INC,92343V104,65844,1513300
VERISK ANALYTICS INC,92345Y106,115553,1563434
VISA INC,92826C839,688600,9885160
WABCO HLDGS INC,92927K102,200906,1916496
WABCO HLDGS INC,92927K102,172204,1642693
WAL MART STORES INC,931142103,18804,290000
WAL MART STORES INC,931142103,110876,1710000
WAL MART STORES INC,931142103,1913,29500
WAL MART STORES INC,931142103,100492,1549840
WAL MART STORES INC,931142103,16599,256000
WAL MART STORES INC,931142103,61339,946000
WAL MART STORES INC,931142103,115999,1789000
WAL MART STORES INC,931142103,297486,4588000
WAL MART STORES INC,931142103,2851725,43980953
WAL MART STORES INC,931142103,34689,535000
WAL MART STORES INC,931142103,33133,511000
WELLS FARGO & CO NEW,949746101,313208,6099470
WELLS FARGO & CO NEW,949746101,844708,16450000
WELLS FARGO & CO NEW,949746101,272335,5303500
WELLS FARGO & CO NEW,949746101,349840,6812857
WELLS FARGO & CO NEW,949746101,3843744,74853819
WELLS FARGO & CO NEW,949746101,42107,820000
WELLS FARGO & CO NEW,949746101,87295,1700000
WELLS FARGO & CO NEW,949746101,1852153,36069200
WELLS FARGO & CO NEW,949746101,527210,10267000
