Name of Issuer,CUSIP,Value,Shares
AMERICAN AIRLS GROUP INC,02376R102,488930,13355099
AMERICAN AIRLS GROUP INC,02376R102,308090,8415456
AMERICAN EXPRESS CO,025816109,125015,1952142
AMERICAN EXPRESS CO,025816109,1103115,17225400
AMERICAN EXPRESS CO,025816109,53783,839832
AMERICAN EXPRESS CO,025816109,131737,2057100
AMERICAN EXPRESS CO,025816109,511976,7994634
AMERICAN EXPRESS CO,025816109,7693886,120141879
AMERICAN EXPRESS CO,025816109,89638,1399713
APPLE INC,037833100,122580,1084300
APPLE INC,037833100,1152403,10193747
APPLE INC,037833100,411763,3642305
APPLE INC,037833100,34746,307350
BANK OF NEW YORK MELLON CORP,064058100,278203,6975992
BANK OF NEW YORK MELLON CORP,064058100,71541,1793915
BANK OF NEW YORK MELLON CORP,064058100,245676,6160384
BANK OF NEW YORK MELLON CORP,064058100,21935,550021
BANK OF NEW YORK MELLON CORP,064058100,225577,5656400
CHARTER COMMUNICATIONS INC N,16119P108,716618,2654437
CHARTER COMMUNICATIONS INC N,16119P108,1832841,6789054
COCA COLA CO,191216100,33856,800000
COCA COLA CO,191216100,3397585,80283200
COCA COLA CO,191216100,77192,1824000
COCA COLA CO,191216100,609882,14411200
COCA COLA CO,191216100,773542,18278400
COCA COLA CO,191216100,11844996,279891200
COCA COLA CO,191216100,150321,3552000
COCA COLA CO,191216100,40627,960000
COSTCO WHSL CORP NEW,22160K105,660881,4333363
DAVITA HEALTHCARE PARTNERS I,23918K108,1324841,20052088
DAVITA HEALTHCARE PARTNERS I,23918K108,1223186,18513482
DEERE & CO,244199105,197369,2312467
DEERE & CO,244199105,10256,120165
DEERE & CO,244199105,1505997,17644955
DEERE & CO,244199105,85988,1007474
DELTA AIR LINES INC DEL,247361702,249303,6333923
GENERAL ELECTRIC CO,369604103,17443,588900
GENERAL ELECTRIC CO,369604103,15862,535532
GENERAL ELECTRIC CO,369604103,148050,4998302
GENERAL ELECTRIC CO,369604103,1057,35702
GENERAL ELECTRIC CO,369604103,125842,4248556
GENERAL ELECTRIC CO,369604103,5287,178510
GENERAL MTRS CO,37045V100,491573,15472853
GENERAL MTRS CO,37045V100,790667,24887209
GENERAL MTRS CO,37045V100,266942,8402338
GENERAL MTRS CO,37045V100,39319,1237600
GOLDMAN SACHS GROUP INC,38141G104,705712,4375968
GOLDMAN SACHS GROUP INC,38141G104,1061729,6583551
GRAHAM HLDGS CO,384637104,23185,48165
GRAHAM HLDGS CO,384637104,28598,59410
INTERNATIONAL BUSINESS MACHS,459200101,13420,84480
INTERNATIONAL BUSINESS MACHS,459200101,44160,278000
INTERNATIONAL BUSINESS MACHS,459200101,114577,721288
INTERNATIONAL BUSINESS MACHS,459200101,80823,508800
INTERNATIONAL BUSINESS MACHS,459200101,133926,843100
INTERNATIONAL BUSINESS MACHS,459200101,12485258,78597782
INTERNATIONAL BUSINESS MACHS,459200101,31588,198853
JOHNSON & JOHNSON,478160104,38640,327100
KINDER MORGAN INC DEL,49456B101,462600,20000000
KRAFT HEINZ CO,500754106,29147573,325634818
LEE ENTERPRISES INC,523768109,333,88863
LIBERTY MEDIA CORP DELAWARE,531229409,66771,1965000
LIBERTY MEDIA CORP DELAWARE,531229409,239212,7039780
LIBERTY MEDIA CORP DELAWARE,531229409,31717,933391
LIBERTY MEDIA CORP DELAWARE,531229409,4099,120629
LIBERTY MEDIA CORP DELAWARE,531229607,131943,3949206
LIBERTY MEDIA CORP DELAWARE,531229607,586938,17567720
LIBERTY MEDIA CORP DELAWARE,531229607,16994,508654
LIBERTY MEDIA CORP DELAWARE,531229607,7034,210529
LIBERTY MEDIA CORP DELAWARE,531229854,89740,3189041
LIBERTY MEDIA CORP DELAWARE,531229870,37131,1296013
M & T BK CORP,55261F104,63391,546000
M & T BK CORP,55261F104,19133,164795
M & T BK CORP,55261F104,542332,4671245
MASTERCARD INC,57636Q104,502210,4934756
MONDELEZ INTL INC,609207105,25374,578000
MOODYS CORP,615369105,1296537,11973928
MOODYS CORP,615369105,1374707,12695850
NOW INC,67011P100,14137,659694
NOW INC,67011P100,24985,1165875
PHILLIPS 66,718546104,491516,6102000
PHILLIPS 66,718546104,62990,782000
PHILLIPS 66,718546104,419907,5213000
PHILLIPS 66,718546104,93680,1163000
PHILLIPS 66,718546104,5329502,66163892
PHILLIPS 66,718546104,101976,1266000
PROCTER & GAMBLE CO,742718109,28307,315400
RESTAURANT BRANDS INTL INC,76131D103,376176,8438225
SANOFI,80105N105,16093,421400
SANOFI,80105N105,19467,509742
SANOFI,80105N105,6466,169300
SANOFI,80105N105,107139,2805433
TORCHMARK CORP,891027104,11148,174489
TORCHMARK CORP,891027104,64650,1011888
TORCHMARK CORP,891027104,91958,1439325
TORCHMARK CORP,891027104,238184,3728025
TWENTY FIRST CENTY FOX INC,90130A101,112208,4632867
TWENTY FIRST CENTY FOX INC,90130A101,104606,4319002
US BANCORP DEL,902973304,25317,590275
US BANCORP DEL,902973304,131672,3070000
US BANCORP DEL,902973304,1022124,23831300
US BANCORP DEL,902973304,50396,1175000
US BANCORP DEL,902973304,543815,12679300
US BANCORP DEL,902973304,180344,4204800
US BANCORP DEL,902973304,130815,3050000
US BANCORP DEL,902973304,1489033,34717492
US BANCORP DEL,902973304,74843,1745000
U S G CORP,903293405,362807,14035088
U S G CORP,903293405,645395,24966928
UNITED CONTL HLDGS INC,910047109,237847,4533013
UNITED PARCEL SERVICE INC,911312106,6496,59400
VERISIGN INC,92343E102,394898,5047264
VERISIGN INC,92343E102,618525,7905481
VERIZON COMMUNICATIONS INC,92343V104,701087,13487628
VERIZON COMMUNICATIONS INC,92343V104,78661,1513300
VERISK ANALYTICS INC,92345Y106,127076,1563434
VISA INC,92826C839,26737,323300
VISA INC,92826C839,846779,10239160
WABCO HLDGS INC,92927K102,195919,1725701
WABCO HLDGS INC,92927K102,186495,1642693
WAL MART STORES INC,931142103,68226,946000
WAL MART STORES INC,931142103,867284,12025574
WELLS FARGO & CO NEW,949746101,331014,7475470
WELLS FARGO & CO NEW,949746101,728406,16450000
WELLS FARGO & CO NEW,949746101,234839,5303500
WELLS FARGO & CO NEW,949746101,301673,6812857
WELLS FARGO & CO NEW,949746101,3323117,75047819
WELLS FARGO & CO NEW,949746101,36310,820000
WELLS FARGO & CO NEW,949746101,75276,1700000
WELLS FARGO & CO NEW,949746101,1605380,36255200
WELLS FARGO & CO NEW,949746101,454623,10267000
WELLS FARGO & CO NEW,949746101,2535131,57252270
WELLS FARGO & CO NEW,949746101,11284618,254846834
WELLS FARGO & CO NEW,949746101,123453,2788000
WELLS FARGO & CO NEW,949746101,71278,1609720
WELLS FARGO & CO NEW,949746101,136188,3075600
AXALTA COATING SYS LTD,G0750C108,93969,3324000
AXALTA COATING SYS LTD,G0750C108,565400,20000000
LIBERTY GLOBAL PLC,G5480U104,286394,8379000
LIBERTY GLOBAL PLC,G5480U104,403389,11801897
LIBERTY GLOBAL PLC,G5480U120,242744,7346968
LIBERTY GLOBAL PLC,G5480U138,30064,1089669
LIBERTY GLOBAL PLC,G5480U138,44839,1625185
LIBERTY GLOBAL PLC,G5480U153,36017,1284020
